catalog_number,item_name,item_type,price,color,image_url,link
BC-SO-068,"Bergamo 2,5 seater",sofas,"$5,599.00","Beige, Yellow, Brown, Green, White, Red, Blue, Dark Gray, Gray, Black",BoConcept_catalog/sofas/Bergamo_25_seater.jpg,https://www.boconcept.com/en-us/p/bergamo/4432501-14:2250/
BC-SO-069,Bergamo sofa with resting unit,sofas,"$9,889.00","Beige, Yellow, Brown, Green, White, Red, Blue, Dark Gray, Gray, Black",BoConcept_catalog/sofas/Bergamo_sofa_with_resting_unit.jpg,https://www.boconcept.com/en-us/p/bergamo/443aa00-14:2063-21:5/
BC-SO-070,Bergamo 3-seater lounge sofa with storage,sofas,"$8,229.00","Beige, Yellow, Brown, Green, White, Red, Blue, Dark Gray, Gray, Black",BoConcept_catalog/sofas/Bergamo_3_seater_lounge_sofa_with_storage.jpg,https://www.boconcept.com/en-us/p/bergamo/443bc00-14:3200-21:4/
BC-SO-071,"Osaka corner sofa with lounging unit, tufted seat",sofas,"$6,679.00","Beige, Yellow, Brown, Green, White, Red, Blue, Dark Gray, Gray, Black",BoConcept_catalog/sofas/Osaka_corner_sofa_with_lounging_unit_tufted_seat.jpg,https://www.boconcept.com/en-us/p/osaka/433ai22-10:40104220_2-14:2274-21:5/
BC-SO-072,Amsterdam sofa with pouf on right side,sofas,"$6,249.00","Beige, Yellow, Brown, Green, White, Red, Blue, Dark Gray, Gray, Black",BoConcept_catalog/sofas/Amsterdam_sofa_with_pouf_on_right_side.jpg,https://www.boconcept.com/en-us/p/amsterdam/435aq00-10:435_sofalegs_2-14:2063-21:5/
BC-SO-073,Bergamo corner sofa with lounging unit and pouf w/storage,sofas,"$13,690.00","Beige, Yellow, Brown, Green, White, Red, Blue, Dark Gray, Gray, Black",BoConcept_catalog/sofas/Bergamo_corner_sofa_with_lounging_unit_and_pouf_wstorage.jpg,https://www.boconcept.com/en-us/p/bergamo/443al00-4:0702-14:2250-21:5/
BC-SO-074,Hampton sofa with adjustable back,sofas,"$4,669.00","Beige, Yellow, Brown, Green, White, Red, Blue, Dark Gray, Gray, Black",BoConcept_catalog/sofas/Hampton_sofa_with_adjustable_back.jpg,https://www.boconcept.com/en-us/p/hampton/4413001-10:441_sofaleg_1-14:3063/
BC-SO-075,"Osaka sofa with resting unit, tufted seat",sofas,"$4,229.00","Beige, Yellow, Brown, Green, White, Red, Blue, Dark Gray, Gray, Black",BoConcept_catalog/sofas/Osaka_sofa_with_resting_unit_tufted_seat.jpg,https://www.boconcept.com/en-us/p/osaka/433cv22-10:40104220_2-14:2063-21:4/
BC-SO-076,Hampton pouf,sofas,"$2,499.00","Beige, Yellow, Brown, Green, White, Red, Blue, Dark Gray, Gray, Black",BoConcept_catalog/sofas/Hampton_pouf.jpg,https://www.boconcept.com/en-us/p/hampton/4410100-9:0165-14:2257/
BC-SO-077,"Zürich 2,5 seater",sofas,"$4,649.00","Beige, Yellow, Brown, Green, White, Red, Blue, Dark Gray, Gray, Black",BoConcept_catalog/sofas/Zürich_25_seater.jpg,https://www.boconcept.com/en-us/p/zürich/4422501-9:0075-14:3092/
BC-SO-078,Hampton pouf on wheels with storage left and right sides,sofas,"$2,569.00","Beige, Yellow, Brown, Green, White, Red, Blue, Dark Gray, Gray, Black",BoConcept_catalog/sofas/Hampton_pouf_on_wheels_with_storage_left_and_right_sides.jpg,https://www.boconcept.com/en-us/p/hampton/4410210-9:0137-14:2255/
BC-SO-079,Carmo sofa with lounging units,sofas,"$10,390.00","Beige, Yellow, Brown, Green, White, Red, Blue, Dark Gray, Gray, Black",BoConcept_catalog/sofas/Carmo_sofa_with_lounging_units.jpg,https://www.boconcept.com/en-us/p/carmo/412ak00-10:416_sofaleg_1-14:2063-21:5/
BC-SO-080,"Amsterdam 2.5 seating module, armrest left",sofas,"$4,959.00","Beige, Yellow, Brown, Green, White, Red, Blue, Dark Gray, Gray, Black",BoConcept_catalog/sofas/Amsterdam_25_seating_module_armrest_left.jpg,https://www.boconcept.com/en-us/p/amsterdam/4352503-10:435_sofalegs_2-14:2250-21:4/
BC-SO-081,"Hampton sofa with adjustable back, resting unit and storage left side",sofas,"$9,829.00","Beige, Yellow, Brown, Green, White, Red, Blue, Dark Gray, Gray, Black",BoConcept_catalog/sofas/Hampton_sofa_with_adjustable_back_resting_unit_and_storage_left_side.jpg,https://www.boconcept.com/en-us/p/hampton/441be00-3:4-10:441_sofaleg_1-14:2067-21:4/
BC-SO-082,Berne 2 seater,sofas,"$3,349.00","Beige, Yellow, Brown, Green, White, Red, Blue, Dark Gray, Gray, Black",BoConcept_catalog/sofas/Berne_2_seater.jpg,https://www.boconcept.com/en-us/p/berne/4452001-9:0075-14:2058/
BC-SO-083,"Osaka sofa with resting unit, tufted seat",sofas,"$4,069.00","Beige, Yellow, Brown, Green, White, Red, Blue, Dark Gray, Gray, Black",BoConcept_catalog/sofas/Osaka_sofa_with_resting_unit_tufted_seat.jpg,https://www.boconcept.com/en-us/p/osaka/433ae22-10:40104220_2-14:3164-21:4/
BC-SO-084,"Berne 2,5 seater",sofas,"$3,869.00","Beige, Yellow, Brown, Green, White, Red, Blue, Dark Gray, Gray, Black",BoConcept_catalog/sofas/Berne_25_seater.jpg,https://www.boconcept.com/en-us/p/berne/4452501-9:0075-14:2058/
BC-SO-085,Hampton corner sofa with adjustable back and lounging unit,sofas,"$11,690.00","Beige, Yellow, Brown, Green, White, Red, Blue, Dark Gray, Gray, Black",BoConcept_catalog/sofas/Hampton_corner_sofa_with_adjustable_back_and_lounging_unit.jpg,https://www.boconcept.com/en-us/p/hampton/441av00-10:441_sofaleg_1-14:2063-17:6-21:5/
BC-SO-086,Carlton sofa,sofas,"$7,199.00","Beige, Yellow, Brown, Green, White, Red, Blue, Dark Gray, Gray, Black",BoConcept_catalog/sofas/Carlton_sofa.jpg,https://www.boconcept.com/en-us/p/carlton/417ad42-10:40104200_1-14:2257/
BC-SO-087,Carmo ottoman,sofas,"$2,149.00","Beige, Yellow, Brown, Green, White, Red, Blue, Dark Gray, Gray, Black",BoConcept_catalog/sofas/Carmo_ottoman.jpg,https://www.boconcept.com/en-us/p/carmo/4120300-2:383-10:416_sofaleg_1-14:3091/
BC-SO-088,"Hampton sofa with adjustable back, resting unit and storage both sides",sofas,"$10,990.00","Beige, Yellow, Brown, Green, White, Red, Blue, Dark Gray, Gray, Black",BoConcept_catalog/sofas/Hampton_sofa_with_adjustable_back_resting_unit_and_storage_both_sides.jpg,https://www.boconcept.com/en-us/p/hampton/441bf00-3:6-10:441_sofaleg_1-14:2257-17:6-21:4/
BC-SO-089,"Nawabari 3 seater, low leg",sofas,"$4,149.00","Beige, Yellow, Brown, Green, White, Red, Blue, Dark Gray, Gray, Black",BoConcept_catalog/sofas/Nawabari_3_seater_low_leg.jpg,https://www.boconcept.com/en-us/p/nawabari/4473001-9:447_leg_low-14:3221/
BC-SO-090,Milano 3-seater divided,sofas,"$7,359.00","Beige, Yellow, Brown, Green, White, Red, Blue, Dark Gray, Gray, Black",BoConcept_catalog/sofas/Milano_3_seater_divided.jpg,https://www.boconcept.com/en-us/p/milano/480aa00-14:3331/
BC-SO-091,Zürich corner sofa with lounging unit,sofas,"$9,869.00","Beige, Yellow, Brown, Green, White, Red, Blue, Dark Gray, Gray, Black",BoConcept_catalog/sofas/Zürich_corner_sofa_with_lounging_unit.jpg,https://www.boconcept.com/en-us/p/zürich/442ak00-9:0075-14:3091-21:4/
